epoch,phase,slope,lr,tr_loss,tr_acc,val_acc,l0_rate,l1_rate,l2_rate,l3_rate,threshold,leak_shift
52,3,8.0690,2.06e-05,1.527377,0.599527,0.423611,0.5294,0.1724,0.0281,8.0402,10
53,3,8.3103,1.65e-05,1.555071,0.597251,0.440972,0.5294,0.1714,0.0276,8.0403,10
54,3,8.5517,1.28e-05,1.527567,0.607799,0.375000,0.5293,0.1520,0.0244,8.0403,10
55,3,8.7931,9.55e-06,1.556121,0.605086,0.423611,0.5293,0.1559,0.0251,8.0403,10
56,3,9.0345,6.70e-06,1.519429,0.621542,0.371528,0.5293,0.1517,0.0256,8.0403,10
57,3,9.2759,4.32e-06,1.530896,0.603160,0.395833,0.5293,0.1554,0.0263,8.0403,10
58,3,9.5172,2.45e-06,1.523593,0.607843,0.409722,0.5293,0.1656,0.0266,8.0404,10
59,3,9.7586,1.09e-06,1.514089,0.614189,0.413194,0.5293,0.1455,0.0259,8.0404,10
60,3,10.0000,1.00e-06,1.517310,0.610032,0.409722,0.5293,0.1621,0.0262,8.0404,10
61,4,10.0000,5.00e-05,1.520443,0.606530,0.392361,0.5293,0.1616,0.0294,8.0404,10
62,4,10.0000,4.97e-05,1.494207,0.619354,0.395833,0.5294,0.1611,0.0310,8.0404,10
63,4,10.0000,4.88e-05,1.497122,0.617866,0.413194,0.5295,0.1612,0.0305,8.0404,10
64,4,10.0000,4.73e-05,1.491325,0.611914,0.423611,0.5295,0.1621,0.0318,8.0404,10
65,4,10.0000,4.52e-05,1.488800,0.623862,0.413194,0.5297,0.1616,0.0325,8.0404,10
66,4,10.0000,4.27e-05,1.503348,0.616553,0.402778,0.5296,0.1622,0.0311,8.0404,10
67,4,10.0000,3.97e-05,1.481877,0.615152,0.416667,0.5297,0.1601,0.0323,8.0404,10
68,4,10.0000,3.63e-05,1.487285,0.614758,0.381944,0.5296,0.1603,0.0324,8.0404,10
69,4,10.0000,3.27e-05,1.489075,0.623030,0.378472,0.5295,0.1605,0.0310,8.0404,10
70,4,10.0000,2.89e-05,1.494351,0.613664,0.392361,0.5294,0.1601,0.0313,8.0404,10
